TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-30,2026-03-30,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5970.00,6100.00,5908.00,5936.50,5936.50,6106.70,,5941.40,,,14736,88308032.00,3371,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,639.10,639.10,594.30,598.65,594.30,611.65,,598.65,,,297906,182485615.00,3339,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,701.50,701.50,671.45,672.70,674.70,701.65,,672.45,,,98181,66879447.00,5894,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,25.12,25.90,24.10,24.27,24.27,25.12,,24.27,,,118002,2919235.00,383,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,30.10,31.00,29.39,30.38,30.38,31.16,,30.38,,,214155,6474346.00,833,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,3.01,3.01,2.98,2.98,2.98,3.04,,2.98,,,4045,12141.00,12,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,3.64,3.64,3.20,3.26,3.20,3.71,,3.26,,,25118,85303.00,67,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,7.40,7.40,7.07,7.26,7.26,7.22,,7.26,,,47224,341856.00,60,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,96.55,98.25,92.10,92.65,92.65,97.95,,92.70,,,103077,9836834.00,866,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,281.00,324.00,281.00,302.20,302.00,284.25,,301.05,,,3598,1090133.00,230,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6132.50,6388.70,6086.70,6372.95,6341.00,6236.40,,6368.60,,,1883,11780095.00,564,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,30.01,31.00,28.00,29.34,29.34,30.00,,29.34,,,37834,1114382.00,252,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,350.00,352.30,332.95,340.20,340.20,351.95,,338.00,,,15277,5244266.00,819,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,16.26,17.33,16.06,16.50,16.50,16.50,,16.47,,,2791700,46870269.00,4245,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,20050.15,20200.00,19267.30,19403.35,19403.35,20415.80,,19404.85,,,20899,411634109.00,6173,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500034,INE296A01032,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,825.45,835.00,799.35,801.40,801.40,844.35,,801.55,,,597371,486352713.00,24621,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,494.35,508.75,490.00,497.50,497.50,496.60,,497.10,,,122511,61104636.00,2789,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,A,,,,,BANCO PRODUCTS (INDIA) LTD.,529.45,529.45,503.00,504.55,504.55,528.95,,504.35,,,21495,11033617.00,1131,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500040,INE055A01016,ABREL,A,,,,,ADITYA BIRLA REAL ESTATE LIMIT,1111.20,1135.00,1088.85,1122.10,1135.00,1131.15,,1122.95,,,20705,23182301.00,1373,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500041,INE459A01010,BANARISUG,B,,,,,BANNARI AMMAN SUGARS LTD.,3511.00,3780.00,3511.00,3763.00,3763.00,3600.00,,3594.70,,,140,503460.00,64,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,3219.05,3275.05,3160.00,3214.80,3180.00,3300.65,,3213.55,,,5302,16967597.00,1546,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,617.05,631.00,605.55,607.50,607.50,632.70,,607.50,,,71009,43593047.00,4292,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500048,INE258A01024,BEML,A,,,,,BEML LTD.,1425.00,1449.80,1361.10,1367.65,1361.10,1436.45,,1369.30,,,33691,47113003.00,2887,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,399.30,413.15,399.30,400.60,400.60,404.75,,400.65,,,1414389,572950884.00,23112,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500051,INE099C01010,BHAGGAS,XT,,,,,BHAGAWATI GAS LIMITED,2.85,2.85,2.85,2.85,2.85,2.80,,2.85,,,1285,3662.00,4,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,83.25,83.25,81.33,82.38,82.65,83.46,,82.20,,,43219,3549191.00,453,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500058,INE819C01011,BIHSPONG,XT,,,,,BIHAR SPONGE IRON LTD.,11.58,11.58,11.04,11.10,11.10,11.58,,11.10,,,37622,426201.00,88,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500059,INE071A01013,BILVYAPAR,T,,,,,BIL VYAPAR LIMITED,5.00,5.19,4.84,5.12,5.12,5.09,,4.80,,,14537,72346.00,19,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500060,INE800A01015,BIRLACABLE,B,,,,,Birla Cable Limited,110.05,113.05,104.00,104.40,104.50,112.05,,104.30,,,7756,834590.00,256,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500067,INE472A01039,BLUESTARCO,A,,,,,BLUE STAR LTD.,1622.30,1662.00,1605.65,1610.50,1608.65,1675.05,,1610.70,,,20282,32958391.00,3495,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500068,INE131C01011,DISAQ,B,,,,,DISA INDIA LTD.,11269.00,11600.00,11000.00,11029.45,11010.00,11243.75,,11029.45,,,569,6356825.00,132,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500069,INE418C01012,QUESTCAP,X,,,,,QUEST CAPITAL MARKETS LIMITED,233.05,233.05,223.25,224.60,223.25,231.35,,224.60,,,761,173120.00,52,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500074,INE110A01019,BPL,B,,,,,BPL LTD.,43.15,43.15,38.00,38.25,38.00,42.23,,38.17,,,60378,2447897.00,522,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500078,INE959C01023,OAL,B,,,,,ORIENTAL AROMATICS LIMITED,232.80,240.00,227.05,234.95,232.00,234.60,,238.10,,,756,175133.00,160,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500083,INE281A01026,CENTEXT,B,,,,,CENTURY EXTRUSIONS LTD.,17.51,18.00,16.35,16.81,16.81,17.85,,16.53,,,31905,551811.00,295,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500084,INE486A01021,CESC,A,,,,,CESC LTD.,149.20,151.80,148.75,150.20,150.20,151.30,,150.15,,,906754,136313207.00,3835,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500085,INE085A01013,CHAMBLFERT,A,,,,,CHAMBAL FERTILISERS & CHEMICAL,411.75,431.80,411.75,426.35,427.00,420.05,,426.65,,,144922,61647696.00,6048,F1,1,,,,,
2026-03-30,2026-03-30,CM,BSE,STK,500086,INE302A01020,EXIDEIND,A,,,,,EXIDE INDUSTRIES LTD.,296.85,299.00,286.85,288.00,288.00,300.80,,287.90,,,111569,32625666.00,4135,F1,1,,,,,
