status,reason,slug,name,category,scheme_code,amc_id,amc_name,holder_slug,holder_rows,in_parsed_json
OK,holdings_linked,invesco-india-contra-fund-direct-plan,Invesco India Contra Fund - Direct Plan,Contra,120348,2,Invesco India,invesco-india-contra-fund-direct-plan,,yes
OK,holdings_linked,kotak-contra-fund-direct-plan,Kotak Contra Fund - Direct Plan,Contra,119769,1,Kotak,kotak-contra-fund-direct-plan,,yes
OK,holdings_linked,sbi-contra-fund-direct-plan,SBI CONTRA FUND - DIRECT PLAN,Contra,119835,3,SBI,sbi-contra-fund-direct-plan,,yes
OK,holdings_linked,aditya-birla-sun-life-dividend-yield-fund-growth-direct-plan,Aditya Birla Sun Life Dividend Yield Fund - Growth - Direct Plan,Dividend Yield,119507,7,Aditya Birla Sun Life,aditya-birla-sun-life-dividend-yield-fund-growth-direct-plan,,yes
MISSING,amc_has_other_funds_only,hdfc-dividend-yield-fund-growth-option-direct-plan,HDFC Dividend Yield Fund - Growth Option Direct Plan,Dividend Yield,148609,9,HDFC,hdfc-defence-fund; hdfc-elss-tax-saver-growth-option-direct-plan; hdfc-flexi-cap-fund-growth-option-direct-plan,,no
MISSING,amc_has_other_funds_only,360-one-elss-tax-saver-nifty-50-index-fund-direct-plan,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan,ELSS,151165,34,360 ONE,360-one-quant-fund; 360-one-focused-fund-direct-plan; 360-one-flexicap-fund-direct-plan,,no
OK,holdings_linked,aditya-birla-sun-life-elss-tax-saver-fund-growth-direct-plan,Aditya Birla Sun Life ELSS Tax Saver Fund,ELSS,119544,7,Aditya Birla Sun Life,aditya-birla-sun-life-elss-tax-saver-fund-growth-direct-plan,,yes
OK,holdings_linked,axis-elss-tax-saver-fund-direct-plan,Axis ELSS Tax Saver Fund - Direct Plan,ELSS,120503,29,Axis,axis-elss-tax-saver-fund-direct-plan,,yes
MISSING,amc_has_other_funds_only,bandhan-elss-tax-saver-fund-direct-plan,BANDHAN ELSS Tax Saver Fund - Direct Plan,ELSS,118473,25,Bandhan,bandhan-large-mid-cap-fund-direct-plan; bandhan-midcap-fund; bandhan-multicap-fund,,no
OK,holdings_linked,bank-of-india-elss-tax-saver-direct-plan,BANK OF INDIA ELSS Tax Saver -Direct Plan,ELSS,119351,21,Bank of India,bank-of-india-elss-tax-saver-direct-plan,,yes
OK,holdings_linked,baroda-bnp-paribas-elss-tax-saver-fund-direct-plan,BARODA BNP PARIBAS ELSS Tax Saver Fund - Direct Plan,ELSS,150159,12,Baroda BNP,baroda-bnp-paribas-elss-tax-saver-fund-direct-plan,,yes
OK,holdings_linked,canara-robeco-elss-tax-saver-direct-plan,CANARA ROBECO ELSS TAX SAVER - DIRECT PLAN,ELSS,118285,24,Canara Robeco,canara-robeco-elss-tax-saver-direct-plan,,yes
OK,holdings_linked,dsp-elss-tax-saver-fund-direct-plan,DSP ELSS Tax Saver Fund - Direct Plan,ELSS,119242,19,DSP,dsp-elss-tax-saver-fund-direct-plan,,yes
OK,holdings_linked,edelweiss-elss-tax-saver-fund-direct-plan,Edelweiss ELSS Tax Saver Fund - Direct Plan,ELSS,118620,22,Edelweiss,edelweiss-elss-tax-saver-fund-direct-plan,,yes
OK,holdings_linked,hdfc-elss-tax-saver-growth-option-direct-plan,HDFC ELSS Tax saver,ELSS,119060,9,HDFC,hdfc-elss-tax-saver-growth-option-direct-plan,,yes
OK,holdings_linked,icici-prudential-elss-tax-saver-fund-direct-plan,ICICI Prudential ELSS Tax Saver Fund - Direct Plan,ELSS,120592,5,ICICI Prudential,icici-prudential-elss-tax-saver-fund-direct-plan,,yes
OK,holdings_linked,iti-elss-tax-saver-fund-direct-plan,ITI ELSS Tax Saver Fund - Direct Plan,ELSS,147541,14,ITI,iti-elss-tax-saver-fund-direct-plan,,yes
OK,holdings_linked,invesco-india-elss-tax-saver-fund-direct-plan,Invesco India ELSS Tax Saver Fund - Direct Plan,ELSS,120416,2,Invesco India,invesco-india-elss-tax-saver-fund-direct-plan,,yes
OK,holdings_linked,lic-mf-elss-tax-saver-direct-plan,LIC MF ELSS Tax Saver-Direct Plan,ELSS,120270,4,LIC,lic-mf-elss-tax-saver-direct-plan,,yes
MISSING,amc_has_other_funds_only,mahindra-manulife-elss-tax-saver-fund-direct-plan,Mahindra Manulife ELSS Tax Saver Fund - Direct Plan,ELSS,139781,28,Mahindra Manulife,mahindra-manulife-innovation-opportunities-fund; mahindra-manulife-consumption-fund-direct-plan,,yes
MISSING,amc_has_other_funds_only,mirae-asset-elss-tax-saver-fund-direct-plan,Mirae Asset ELSS Tax Saver Fund - Direct Plan,ELSS,135781,23,Mirae Asset,mirae-asset-flexi-cap-fund-direct-plan; mirae-asset-focused-fund; mirae-asset-large-cap-fund-direct-plan,,no
OK,holdings_linked,motilal-oswal-elss-tax-saver-fund-direct-plan,Motilal Oswal ELSS Tax Saver Fund - Direct Plan,ELSS,133386,13,Motilal Oswal,motilal-oswal-elss-tax-saver-fund-direct-plan,,yes
MISSING,amc_has_other_funds_only,navi-elss-tax-saver-fund-direct-plan,Navi ELSS Tax Saver Fund- Direct Plan,ELSS,135654,74,Navi,navi-flexi-cap-fund-direct-plan; navi-large-midcap-fund-direct-plan; navi-mutual-fund,,no
OK,holdings_linked,pgim-india-elss-tax-saver-fund-direct-plan,PGIM India ELSS Tax Saver Fund - Direct Plan,ELSS,135601,30,PGIM India,pgim-india-elss-tax-saver-fund-direct-plan,,yes
OK,holdings_linked,sbi-elss-tax-saver-fund-direct-plan,SBI ELSS Tax Saver FUND - DIRECT PLAN,ELSS,119723,3,SBI,sbi-elss-tax-saver-fund-direct-plan,,yes
MISSING,amc_no_holdings_in_db,samco-elss-tax-saver-fund-direct-plan,Samco ELSS Tax Saver Fund - Direct Plan,ELSS,150838,31,Samco,,,no
OK,holdings_linked,tata-elss-fund-growth-direct-plan,Tata ELSS Fund,ELSS,132756,6,Tata,tata-elss-fund-growth-direct-plan,,yes
OK,holdings_linked,taurus-elss-tax-saver-fund-direct-plan,Taurus ELSS Tax Saver Fund - Direct Plan,ELSS,118866,86,Taurus,taurus-elss-tax-saver-fund-direct-plan,,yes
OK,holdings_linked,uti-elss-tax-saver-fund-direct-plan,UTI ELSS Tax Saver Fund - Direct Plan,ELSS,120715,8,UTI,uti-elss-tax-saver-fund-direct-plan,,yes
OK,holdings_linked,union-elss-tax-saver-fund-direct-plan,Union ELSS Tax Saver Fund - Direct Plan,ELSS,119307,26,Union,union-elss-tax-saver-fund-direct-plan,,yes
OK,holdings_linked,quant-elss-tax-saver-fund-growth-option-direct-plan,quant ELSS Tax Saver Fund,ELSS,120847,15,Quant,quant-elss-tax-saver-fund-growth-option-direct-plan,,yes
OK,holdings_linked,360-one-flexicap-fund-direct-plan,360 ONE FLEXICAP FUND-DIRECT PLAN,Flexi Cap,151796,34,360 ONE,360-one-flexicap-fund-direct-plan,,yes
OK,holdings_linked,aditya-birla-sun-life-flexi-cap-fund-growth-direct-plan,Aditya Birla Sun Life Flexi Cap Fund,Flexi Cap,120564,7,Aditya Birla Sun Life,aditya-birla-sun-life-flexi-cap-fund-growth-direct-plan,,yes
OK,holdings_linked,axis-flexi-cap-fund-direct-plan,Axis Flexi Cap Fund - Direct Plan,Flexi Cap,141925,29,Axis,axis-flexi-cap-fund-direct-plan,,yes
OK,holdings_linked,bandhan-flexi-cap-fund-direct-plan,BANDHAN Flexi Cap Fund-Direct Plan,Flexi Cap,118424,25,Bandhan,bandhan-flexi-cap-fund-direct-plan,,yes
OK,holdings_linked,bank-of-india-flexi-cap-fund-direct-plan,BANK OF INDIA Flexi Cap Fund Direct Plan,Flexi Cap,148404,21,Bank of India,bank-of-india-flexi-cap-fund,,yes
OK,holdings_linked,bajaj-finserv-flexi-cap-fund-direct-plan,Bajaj Finserv Flexi Cap Fund-Direct Plan,Flexi Cap,151895,35,Bajaj Finserv,bajaj-finserv-flexi-cap-fund-direct-plan,,yes
OK,holdings_linked,baroda-bnp-paribas-flexi-cap-fund-direct-plan,Baroda BNP Paribas Flexi Cap Fund - Direct Plan,Flexi Cap,150387,12,Baroda BNP,baroda-bnp-paribas-flexi-cap-fund-direct-plan,,yes
OK,holdings_linked,canara-robeco-flexicap-fund-direct-plan,CANARA ROBECO FLEXICAP FUND - DIRECT PLAN,Flexi Cap,118275,24,Canara Robeco,canara-robeco-flexicap-fund-direct-plan,,yes
OK,holdings_linked,dsp-flexi-cap-fund-direct-plan,DSP Flexi Cap Fund - Direct Plan,Flexi Cap,119076,19,DSP,dsp-flexi-cap-fund-direct-plan,,yes
OK,holdings_linked,edelweiss-flexi-cap-fund-direct-plan,Edelweiss Flexi Cap Fund - Direct Plan,Flexi Cap,140353,22,Edelweiss,edelweiss-flexi-cap-fund-direct-plan,,yes
